Dec,Hex,Bin,Opcode,ALUop,jump,branch,RegDst,RegWr,ExtOp,MemWr,Mem2Reg,ALUsrc,Warnings,Notes,
Dec,Hex,Bin,Funct(1),,,,,,,,,,,,
0,00,000000,sll,,,,,,,,,,,,0x000000
1,01,000001,,,,,,,,,,,,,0x000000
2,02,000010,srl,,,,,,,,,,,,0x000000
3,03,000011,sra,,,,,,,,,,,,0x000000
4,04,000100,sllv,,,,,,,,,,,,0x000000
5,05,000101,srlv,,,,,,,,,,,,0x000000
6,06,000110,srav,,,,,,,,,,,,0x000000
7,07,000111,jr,,,,,,,,,,,,0x000000
8,08,001000,jalr,,,,,,,,,,,,0x000000
9,09,001001,movz,,,,,,,,,,,,0x000000
10,0A,001010,movn,,,,,,,,,,,,0x000000
11,0B,001011,,,,,,,,,,,,,0x000000
12,0C,001100,syscall,,,,,,,,,,,,0x000000
13,0D,001101,break,,,,,,,,,,,,0x000000
14,0E,001110,,,,,,,,,,,,,0x000000
15,0F,001111,sync,,,,,,,,,,,,0x000000
16,10,010000,mfhi,,,,,,,,,,,,0x000000
17,11,010001,mthi,,,,,,,,,,,,0x000000
18,12,010010,mflo,,,,,,,,,,,,0x000000
19,13,010011,mtlo,,,,,,,,,,,,0x000000
20,14,010100,,,,,,,,,,,,,0x000000
21,15,010101,,,,,,,,,,,,,0x000000
22,16,010110,,,,,,,,,,,,,0x000000
23,17,010111,,,,,,,,,,,,,0x000000
24,18,011000,mult,,,,,,,,,,,,0x000000
25,19,011001,multu,,,,,,,,,,,,0x000000
26,1A,011010,div,,,,,,,,,,,,0x000000
27,1B,011011,divu,,,,,,,,,,,,0x000000
28,1C,011100,,,,,,,,,,,,,0x000000
29,1D,011101,,,,,,,,,,,,,0x000000
30,1E,011110,,,,,,,,,,,,,0x000000
31,1F,011111,,,,,,,,,,,,,0x000000
32,20,100000,add,add,,,1,1,,0,,0,,,0x00000C
33,21,100001,addu,,,,,,,,,,,,0x000000
34,22,100010,sub,,,,,,,,,,,,0x000000
35,23,100011,subu,,,,,,,,,,,,0x000000
36,24,100100,and,,,,,,,,,,,,0x000000
37,25,100101,or,,,,,,,,,,,,0x000000
38,26,100110,xor,,,,,,,,,,,,0x000000
39,27,100111,nor,,,,,,,,,,,,0x000000
40,28,101000,,,,,,,,,,,,,0x000000
41,29,101001,,,,,,,,,,,,,0x000000
42,2A,101010,slt,,,,,,,,,,,,0x000000
43,2B,101011,sltu,,,,,,,,,,,,0x000000
44,2C,101100,,,,,,,,,,,,,0x000000
45,2D,101101,,,,,,,,,,,,,0x000000
46,2E,101110,,,,,,,,,,,,,0x000000
47,2F,101111,,,,,,,,,,,,,0x000000
48,30,110000,tge,,,,,,,,,,,,0x000000
49,31,110001,tgeu,,,,,,,,,,,,0x000000
50,32,110010,tlt,,,,,,,,,,,,0x000000
51,33,110011,tltu,,,,,,,,,,,,0x000000
52,34,110100,teq,,,,,,,,,,,,0x000000
53,35,110101,,,,,,,,,,,,,0x000000
54,36,110110,tne,,,,,,,,,,,,0x000000
55,37,110111,,,,,,,,,,,,,0x000000
56,38,111000,,,,,,,,,,,,,0x000000
57,39,111001,,,,,,,,,,,,,0x000000
58,3A,111010,,,,,,,,,,,,,0x000000
59,3B,111011,,,,,,,,,,,,,0x000000
60,3C,111100,,,,,,,,,,,,,0x000000
61,3D,111101,,,,,,,,,,,,,0x000000
62,3E,111110,,,,,,,,,,,,,0x000000
63,3F,111111,,,,,,,,,,,,,0x000000
